no,exit,type,epochs,accuracy,timec,timel
1,0,1,20,0.73,638.65,1144.20
2,0,1,30,0.74,957.97,1716.30
3,0,1,40,0.79,1277.30,2288.39
4,0,1,50,0.77,1596.62,2860.49
5,0,1,60,0.76,1915.94,3432.59
6,0,1,70,0.77,2235.27,4004.69
7,0,1,80,0.75,2554.59,4576.79
8,0,1,90,0.79,2873.91,5148.89
9,0,1,100,0.78,3193.24,5720.99
10,1,2,20,0.69,116.02,196.2
11,1,2,30,0.71,174.03,294.3
12,1,2,40,0.74,232.03,392.4
13,1,2,50,0.73,290.04,490.5
14,1,2,60,0.74,348.05,588.6
15,1,2,70,0.76,406.06,686.7
16,1,2,80,0.74,464.07,784.8
17,1,2,90,0.77,522.08,882.9
18,1,2,100,0.77,580.09,981
19,1,3,20,0.77,632.48,995.22
20,1,3,30,0.78,948.72,1492.83
21,1,3,40,0.79,1264.96,1990.44
22,1,3,50,0.78,1581.19,2488.06
23,1,3,60,0.79,1897.43,2985.67
24,1,3,70,0.78,2213.67,3483.28
25,1,3,80,0.79,2529.91,3980.89
26,1,3,90,0.79,2846.15,4478.50
27,1,3,100,0.78,3162.39,4976.11
28,1,4,20,0.76,104.87,174.07
29,1,4,30,0.78,157.3,261.11
30,1,4,40,0.75,209.74,348.14
31,1,4,50,0.78,262.17,435.18
32,1,4,60,0.73,314.61,522.21
33,1,4,70,0.78,367.04,609.25
34,1,4,80,0.77,419.47,696.29
35,1,4,90,0.78,471.91,783.32
36,1,4,100,0.8,524.34,870.36
37,2,2,20,0.76,161.54,288
38,2,2,30,0.79,242.31,432
39,2,2,40,0.79,323.09,576
40,2,2,50,0.78,403.86,720
41,2,2,60,0.78,484.63,864
42,2,2,70,0.77,565.4,1008.00
43,2,2,80,0.76,646.17,1152.00
44,2,2,90,0.75,726.94,1296.00
45,2,2,100,0.78,807.72,1440.00
46,2,3,20,0.78,611.04,928.27
47,2,3,30,0.78,916.56,1392.41
48,2,3,40,0.77,1222.09,1856.54
49,2,3,50,0.78,1527.61,2320.68
50,2,3,60,0.79,1833.13,2784.82
51,2,3,70,0.79,2138.65,3248.95
52,2,3,80,0.79,2444.17,3713.09
53,2,3,90,0.79,2749.69,4177.23
54,2,3,100,0.79,3055.21,4641.36
55,2,4,20,0.77,149.57,256.86
56,2,4,30,0.78,224.36,385.29
57,2,4,40,0.78,299.15,513.72
58,2,4,50,0.77,373.93,642.16
59,2,4,60,0.77,448.72,770.59
60,2,4,70,0.78,523.51,899.02
61,2,4,80,0.78,598.29,1027.45
62,2,4,90,0.77,673.08,1155.88
63,2,4,100,0.78,747.87,1284.31
64,3,2,20,0.78,196.45,363.8
65,3,2,30,0.78,294.68,545.7
66,3,2,40,0.79,392.9,727.6
67,3,2,50,0.77,491.13,909.5
68,3,2,60,0.78,589.35,1091.40
69,3,2,70,0.79,687.58,1273.30
70,3,2,80,0.79,785.81,1455.20
71,3,2,90,0.79,884.03,1637.10
72,3,2,100,0.75,982.26,1819.00
73,3,3,20,0.78,586.87,914.98
74,3,3,30,0.78,880.31,1372.47
75,3,3,40,0.78,1173.74,1829.97
76,3,3,50,0.78,1467.18,2287.46
77,3,3,60,0.78,1760.61,2744.95
78,3,3,70,0.78,2054.05,3202.44
79,3,3,80,0.78,2347.48,3659.93
80,3,3,90,0.78,2640.92,4117.42
81,3,3,100,0.78,2934.35,4574.91
82,3,4,20,0.77,195.88,342.96
83,3,4,30,0.77,293.82,514.44
84,3,4,40,0.77,391.77,685.91
85,3,4,50,0.78,489.71,857.39
86,3,4,60,0.77,587.65,1028.87
87,3,4,70,0.77,685.59,1200.35
88,3,4,80,0.79,783.53,1371.83
89,3,4,90,0.78,881.47,1543.31
90,3,4,100,0.79,979.41,1714.79
91,4,2,20,0.77,249.37,426.4
92,4,2,30,0.78,374.06,639.6
93,4,2,40,0.78,498.75,852.8
94,4,2,50,0.77,623.43,1066.00
95,4,2,60,0.79,748.12,1279.20
96,4,2,70,0.79,872.81,1492.40
97,4,2,80,0.78,997.49,1705.60
98,4,2,90,0.79,1122.18,3643.26
99,4,2,100,0.8,1246.87,2132.00
100,4,3,20,0.8,562.82,809.61
101,4,3,30,0.8,844.22,1214.42
102,4,3,40,0.8,1125.63,1619.23
103,4,3,50,0.8,1407.04,2024.03
104,4,3,60,0.8,1688.45,2428.84
105,4,3,70,0.8,1969.86,2833.65
106,4,3,80,0.8,2251.27,3238.45
107,4,3,90,0.8,2532.67,1797.07
108,4,3,100,0.8,2814.08,4048.07
109,4,4,20,0.76,258.64,399.35
110,4,4,30,0.76,387.96,599.02
111,4,4,40,0.77,517.28,798.7
112,4,4,50,0.76,646.6,998.37
113,4,4,60,0.75,775.92,1198.05
114,4,4,70,0.76,905.23,1397.72
115,4,4,80,0.76,1034.55,1597.39
116,4,4,90,0.78,1163.87,1797.07
117,4,4,100,0.78,1293.19,1996.74
118,5,2,20,0.79,319.27,546
119,5,2,30,0.79,478.9,819
120,5,2,40,0.78,638.53,1092.00
121,5,2,50,0.8,798.16,1365.00
122,5,2,60,0.79,957.8,1638.00
123,5,2,70,0.8,1117.43,1911.00
124,5,2,80,0.78,1277.06,2184.00
125,5,2,90,0.8,1436.69,2457.00
126,5,2,100,0.79,1596.33,2730.00
127,5,3,20,0.8,525.32,778.22
128,5,3,30,0.8,787.98,1167.32
129,5,3,40,0.8,1050.64,1556.43
130,5,3,50,0.8,1313.31,1945.54
131,5,3,60,0.8,1575.97,2334.65
132,5,3,70,0.8,1838.63,2723.75
133,5,3,80,0.8,2101.29,3112.86
134,5,3,90,0.8,2363.95,3501.97
135,5,3,100,0.8,2626.61,3891.08
136,5,4,20,0.72,307.2,521.93
137,5,4,30,0.69,460.8,782.89
138,5,4,40,0.78,614.4,1043.86
139,5,4,50,0.77,768,1304.82
140,5,4,60,0.78,921.6,1565.79
141,5,4,70,0.75,1075.20,1826.75
142,5,4,80,0.77,1228.80,2087.71
143,5,4,90,0.78,1382.40,2348.68
144,5,4,100,0.78,1536.00,2609.64
145,6,2,20,0.63,376.44,678
146,6,2,30,0.8,564.66,1017.00
147,6,2,40,0.79,752.88,1356.00
148,6,2,50,0.81,941.1,1695.00
149,6,2,60,0.8,1129.32,2034.00
150,6,2,70,0.79,1317.54,2373.00
151,6,2,80,0.8,1505.76,2712.00
152,6,2,90,0.8,1693.98,3051.00
153,6,2,100,0.78,1882.21,3390.00
154,6,3,20,0.8,502.51,716.83
155,6,3,30,0.8,753.76,1075.25
156,6,3,40,0.8,1005.02,1433.67
157,6,3,50,0.8,1256.27,1792.08
158,6,3,60,0.8,1507.52,2150.50
159,6,3,70,0.79,1758.78,2508.92
160,6,3,80,0.8,2010.03,2867.34
161,6,3,90,0.79,2261.29,3225.75
162,6,3,100,0.8,2512.54,3584.17
163,6,4,20,0.77,367.9,649.93
164,6,4,30,0.77,551.84,974.89
165,6,4,40,0.77,735.79,1299.86
166,6,4,50,0.74,919.74,1624.82
167,6,4,60,0.78,1103.69,1949.78
168,6,4,70,0.79,1287.63,2274.75
169,6,4,80,0.77,1471.58,2599.71
170,6,4,90,0.79,1655.53,2924.68
171,6,4,100,0.8,1839.48,3249.64
172,7,2,20,0.8,476.55,736
173,7,2,30,0.8,714.82,1104.00
174,7,2,40,0.79,953.1,1472.00
175,7,2,50,0.8,1191.37,1840.00
176,7,2,60,0.8,1429.65,2208.00
177,7,2,70,0.8,1667.92,2576.00
178,7,2,80,0.79,1906.19,2944.00
179,7,2,90,0.77,2144.47,3312.00
180,7,2,100,0.8,2382.74,3680.00
181,7,3,20,0.75,454.2,656.66
182,7,3,30,0.73,681.3,984.99
183,7,3,40,0.74,908.4,1313.32
184,7,3,50,0.77,1135.51,1641.65
185,7,3,60,0.76,1362.61,1969.98
186,7,3,70,0.75,1589.71,2298.32
187,7,3,80,0.75,1816.81,2626.65
188,7,3,90,0.75,2043.91,2954.98
189,7,3,100,0.75,2271.01,3283.31
190,7,4,20,0.76,450.72,701.55
191,7,4,30,0.78,676.07,1052.32
192,7,4,40,0.73,901.43,1403.09
193,7,4,50,0.73,1126.79,1753.86
194,7,4,60,0.77,1352.15,2104.64
195,7,4,70,0.77,1577.50,2455.41
196,7,4,80,0.77,1802.86,2806.18
197,7,4,90,0.79,2028.22,3156.95
198,7,4,100,0.78,2253.58,3507.73
199,8,2,20,0.8,523.84,784.2
200,8,2,30,0.8,785.76,1176.30
201,8,2,40,0.78,1047.68,1568.40
202,8,2,50,0.8,1309.60,1960.50
203,8,2,60,0.79,1571.52,2352.60
204,8,2,70,0.8,1833.44,2744.70
205,8,2,80,0.8,2095.36,3136.80
206,8,2,90,0.8,2357.28,3528.90
207,8,2,100,0.79,2619.20,3921.00
208,8,3,20,0.47,382.08,581.41
