no,exit,type,epochs,accuracy,timec,timel
1,0,1,20,0.62,521.47,908.79
2,0,1,30,0.64,782.2,1363.19
3,0,1,40,0.66,1042.94,1817.59
4,0,1,50,0.66,1303.67,2271.98
5,0,1,60,0.66,1564.40,2726.38
6,0,1,70,0.68,1825.14,3180.77
7,0,1,80,0.68,2085.87,3635.17
8,0,1,90,0.66,2346.61,4089.57
9,0,1,100,0.69,2607.34,4543.96
10,1,2,20,0.65,112.46,167.83
11,1,2,30,0.65,168.68,251.74
12,1,2,40,0.65,224.91,335.65
13,1,2,50,0.65,281.14,419.57
14,1,2,60,0.65,337.37,503.48
15,1,2,70,0.64,393.59,587.4
16,1,2,80,0.65,449.82,671.31
17,1,2,90,0.65,506.05,755.22
18,1,2,100,0.65,562.28,839.14
19,1,3,20,0.67,305.73,572.74
20,1,3,30,0.67,458.59,859.1
21,1,3,40,0.67,611.46,1145.47
22,1,3,50,0.67,764.32,1431.84
23,1,3,60,0.68,917.19,1718.21
24,1,3,70,0.67,1070.05,2004.58
25,1,3,80,0.68,1222.92,2290.95
26,1,3,90,0.67,1375.78,2577.31
27,1,3,100,0.68,1528.65,2863.68
28,1,4,20,0.71,101.29,173.41
29,1,4,30,0.7,151.94,260.12
30,1,4,40,0.69,202.59,346.83
31,1,4,50,0.7,253.23,433.54
32,1,4,60,0.7,303.88,520.24
33,1,4,70,0.69,354.53,606.95
34,1,4,80,0.7,405.17,693.66
35,1,4,90,0.7,455.82,780.37
36,1,4,100,0.7,506.47,867.07
37,2,2,20,0.7,160.89,240.59
38,2,2,30,0.7,241.34,360.88
39,2,2,40,0.7,321.78,481.18
40,2,2,50,0.7,402.23,601.47
41,2,2,60,0.7,482.67,721.76
42,2,2,70,0.7,563.12,842.06
43,2,2,80,0.71,643.57,962.35
44,2,2,90,0.71,724.01,1082.65
45,2,2,100,0.71,804.46,1202.94
46,2,3,20,0.71,271.71,514.02
47,2,3,30,0.7,407.56,771.02
48,2,3,40,0.71,543.41,1028.03
49,2,3,50,0.71,679.26,1285.04
50,2,3,60,0.71,815.12,1542.05
51,2,3,70,0.71,950.97,1799.05
52,2,3,80,0.72,1086.82,2056.06
53,2,3,90,0.72,1222.67,2313.07
54,2,3,100,0.71,1358.53,2570.08
55,2,4,20,0.69,151.98,252.61
56,2,4,30,0.69,227.97,378.92
57,2,4,40,0.7,303.96,505.22
58,2,4,50,0.7,379.95,631.53
59,2,4,60,0.7,455.94,757.83
60,2,4,70,0.7,531.93,884.14
61,2,4,80,0.7,607.92,1010.44
