no,exit,type,epochs,accuracy,timec,timel
1,0,1,20,0.66,134.18,210.61
2,0,1,30,0.68,201.27,315.91
3,0,1,40,0.68,268.36,421.22
4,0,1,50,0.7,335.45,526.52
5,0,1,60,0.7,402.55,631.83
6,0,1,70,0.7,469.64,737.13
7,0,1,80,0.7,536.73,842.44
8,0,1,90,0.71,603.82,947.74
9,0,1,100,0.71,670.91,1053.05
10,1,2,20,0.68,40.58,66.31
11,1,2,30,0.68,60.87,99.47
12,1,2,40,0.68,81.16,132.62
13,1,2,50,0.68,101.45,165.78
14,1,2,60,0.68,121.74,198.93
15,1,2,70,0.69,142.03,232.09
16,1,2,80,0.68,162.32,265.25
17,1,2,90,0.68,182.61,298.4
18,1,2,100,0.68,202.9,331.56
19,1,3,20,0.66,126.91,189.87
20,1,3,30,0.67,190.37,284.81
21,1,3,40,0.68,253.82,379.74
22,1,3,50,0.68,317.28,474.68
23,1,3,60,0.69,380.74,569.61
24,1,3,70,0.69,444.19,664.55
25,1,3,80,0.7,507.65,759.48
26,1,3,90,0.7,571.11,854.42
27,1,3,100,0.7,634.56,949.35
28,1,4,20,0.71,40.58,60.71
29,1,4,30,0.7,60.87,91.06
30,1,4,40,0.68,81.15,121.41
31,1,4,50,0.69,101.44,151.77
32,1,4,60,0.69,121.73,182.12
33,1,4,70,0.69,142.02,212.47
34,1,4,80,0.7,162.31,242.83
35,1,4,90,0.7,182.6,273.18
36,1,4,100,0.69,202.89,303.53
37,2,2,20,0.74,52.65,103.04
38,2,2,30,0.73,78.98,154.55
39,2,2,40,0.72,105.3,206.07
40,2,2,50,0.73,131.63,257.59
41,2,2,60,0.73,157.95,309.11
42,2,2,70,0.73,184.28,360.63
43,2,2,80,0.74,210.6,412.14
44,2,2,90,0.73,236.93,463.66
45,2,2,100,0.73,263.25,515.18
46,2,3,20,0.66,112.18,168.57
47,2,3,30,0.67,168.27,252.86
48,2,3,40,0.67,224.36,337.15
49,2,3,50,0.68,280.44,421.44
50,2,3,60,0.69,336.53,505.72
51,2,3,70,0.69,392.62,590.01
52,2,3,80,0.69,448.71,674.3
53,2,3,90,0.7,504.8,758.59
54,2,3,100,0.7,560.89,842.87
55,2,4,20,0.74,76.6,115.12
56,2,4,30,0.72,114.91,172.67
57,2,4,40,0.73,153.21,230.23
58,2,4,50,0.74,191.51,287.79
59,2,4,60,0.74,229.81,345.35
60,2,4,70,0.73,268.11,402.9
61,2,4,80,0.74,306.41,460.46
62,2,4,90,0.74,344.72,518.02
63,2,4,100,0.74,383.02,575.58
64,3,2,20,0.74,76.67,136.18
65,3,2,30,0.74,115,204.26
66,3,2,40,0.75,153.34,272.35
67,3,2,50,0.76,191.67,340.44
68,3,2,60,0.74,230.01,408.53
69,3,2,70,0.74,268.34,476.61
70,3,2,80,0.74,306.68,544.7
71,3,2,90,0.75,345.01,612.79
72,3,2,100,0.76,383.34,680.88
73,3,3,20,0.72,101.86,152.65
74,3,3,30,0.73,152.79,228.97
75,3,3,40,0.73,203.72,305.3
76,3,3,50,0.73,254.65,381.62
77,3,3,60,0.74,305.58,457.95
78,3,3,70,0.74,356.52,534.27
79,3,3,80,0.74,407.45,610.6
80,3,3,90,0.74,458.38,686.92
81,3,3,100,0.74,509.31,763.24
82,3,4,20,0.7,100.65,150.84
83,3,4,30,0.69,150.98,226.26
84,3,4,40,0.71,201.31,301.68
85,3,4,50,0.72,251.64,377.1
86,3,4,60,0.72,301.96,452.52
87,3,4,70,0.71,352.29,527.94
88,3,4,80,0.72,402.62,603.36
89,3,4,90,0.72,452.95,678.78
90,3,4,100,0.72,503.27,754.2
91,4,2,20,0.74,136.79,176.24
92,4,2,30,0.75,205.18,264.36
93,4,2,40,0.75,273.57,352.49
94,4,2,50,0.75,341.97,440.61
95,4,2,60,0.76,410.36,528.73
96,4,2,70,0.76,478.75,616.85
97,4,2,80,0.76,547.14,704.97
98,4,2,90,0.76,615.54,793.09
99,4,2,100,0.76,683.93,881.21
100,4,3,20,0.76,88.72,118.01
101,4,3,30,0.76,133.09,177.01
102,4,3,40,0.76,177.45,236.01
103,4,3,50,0.76,221.81,295.01
104,4,3,60,0.76,266.17,354.02
105,4,3,70,0.76,310.53,413.02
106,4,3,80,0.76,354.89,472.02
107,4,3,90,0.76,399.26,531.02
108,4,3,100,0.76,443.62,590.03
109,4,4,20,0.69,124.79,165.97
110,4,4,30,0.69,187.18,248.96
111,4,4,40,0.69,249.58,331.95
112,4,4,50,0.7,311.97,414.93
113,4,4,60,0.7,374.37,497.92
114,4,4,70,0.7,436.76,580.9
115,4,4,80,0.71,499.15,663.89
116,4,4,90,0.71,561.55,746.88
117,4,4,100,0.71,623.94,829.86
