no,exit,type,epochs,accuracy,timec,timel
1,0,1,20,0.73,434.01,636.18
2,0,1,30,0.59,651.01,954.26
3,0,1,40,0.52,868.01,1272.35
4,0,1,50,0.6,1085.01,1590.44
5,0,1,60,0.74,1302.02,1908.53
6,0,1,70,0.76,1519.02,2226.62
7,0,1,80,0.73,1736.02,2544.70
8,0,1,90,0.76,1953.03,2862.79
9,0,1,100,0.75,2170.03,3180.88
10,1,2,20,0.7,40.56,56.28
11,1,2,30,0.69,60.85,84.42
12,1,2,40,0.68,81.13,112.56
13,1,2,50,0.7,101.41,140.7
14,1,2,60,0.69,121.69,168.84
15,1,2,70,0.69,141.97,196.98
16,1,2,80,0.69,162.25,225.12
17,1,2,90,0.66,182.54,253.26
18,1,2,100,0.68,202.82,281.4
19,1,3,20,0.74,425.4,618.52
20,1,3,30,0.73,638.1,927.79
21,1,3,40,0.76,850.8,1237.05
22,1,3,50,0.76,1063.50,1546.31
23,1,3,60,0.77,1276.20,1855.57
24,1,3,70,0.77,1488.90,2164.84
25,1,3,80,0.77,1701.60,2474.10
26,1,3,90,0.77,1914.30,2783.36
27,1,3,100,0.77,2127.00,3092.62
28,1,4,20,0.71,40.46,57.15
29,1,4,30,0.7,60.69,85.72
30,1,4,40,0.71,80.92,114.3
31,1,4,50,0.69,101.15,142.87
32,1,4,60,0.71,121.38,171.45
33,1,4,70,0.71,141.61,200.02
34,1,4,80,0.69,161.84,228.6
35,1,4,90,0.7,182.07,257.17
36,1,4,100,0.68,202.3,285.75
37,2,2,20,0.73,95.1,163.9
38,2,2,30,0.77,142.65,245.85
39,2,2,40,0.77,190.2,327.8
40,2,2,50,0.77,237.74,409.74
41,2,2,60,0.77,285.29,491.69
42,2,2,70,0.75,332.84,573.64
43,2,2,80,0.77,380.39,655.59
44,2,2,90,0.77,427.94,737.54
45,2,2,100,0.76,475.49,819.49
46,2,3,20,0.7,389.23,555.53
47,2,3,30,0.72,583.85,833.29
48,2,3,40,0.72,778.47,1111.05
49,2,3,50,0.72,973.09,1388.82
50,2,3,60,0.72,1167.70,1666.58
51,2,3,70,0.72,1362.32,1944.35
52,2,3,80,0.73,1556.94,2222.11
53,2,3,90,0.72,1751.56,2499.87
54,2,3,100,0.73,1946.17,2777.64
55,2,4,20,0.77,100.73,160.48
56,2,4,30,0.77,151.09,240.71
57,2,4,40,0.75,201.45,320.95
58,2,4,50,0.74,251.81,401.19
59,2,4,60,0.77,302.18,481.43
60,2,4,70,0.76,352.54,561.67
61,2,4,80,0.78,402.9,641.9
62,2,4,90,0.77,453.27,722.14
63,2,4,100,0.78,503.63,802.38
64,3,2,20,0.77,172.77,284.27
65,3,2,30,0.76,259.16,426.4
66,3,2,40,0.76,345.54,568.54
67,3,2,50,0.77,431.93,710.67
68,3,2,60,0.78,518.31,852.81
69,3,2,70,0.76,604.7,994.94
70,3,2,80,0.77,691.08,1137.08
71,3,2,90,0.78,777.47,1279.21
72,3,2,100,0.76,863.85,1421.34
73,3,3,20,0.77,363.3,514.66
74,3,3,30,0.77,544.95,771.99
75,3,3,40,0.78,726.6,1029.32
76,3,3,50,0.77,908.25,1286.65
